Image,THUMB_MCP_angle,INDEX_MCP_angle,MIDDLE_MCP_angle,RING_MCP_angle,PINKY_MCP_angle,INDEX_PIP_angle,MIDDLE_PIP_angle,RING_PIP_angle,PINKY_PIP_angle,INDEX_DIP_angle,MIDDLE_DIP_angle,RING_DIP_angle,PINKY_DIP_angle,THUMB_TMC_angle,THUMB_IP_angle,THUMB_INDEX_Abduction_angle
10.jpg,167.5143525,155.677561,129.821265,112.910116,130.7714498,171.7000145,53.19261604,60.35264915,44.82774623,174.4950503,146.7135426,132.3505902,140.9888132,153.8529707,169.9016131,55.11445114
109.jpg,166.346281,164.5663874,141.7483994,138.5997371,146.8702001,173.6385104,38.04247949,35.41080665,35.63856152,175.9161689,152.800228,149.2510766,152.4072131,152.81633,162.7868097,46.34404981
11.jpg,173.6115158,156.9365445,113.6157624,96.53254065,98.21962749,166.0416304,70.52754368,78.18810818,83.87512527,170.3647135,101.4557875,98.73500957,107.9854871,154.5016836,173.7887984,60.14264219
110.jpg,171.8695538,150.3100151,123.4195795,121.3616252,146.7857485,174.207969,80.52539221,67.63868463,40.59229838,176.3132073,160.4214663,157.6225883,162.0832303,146.049162,164.3536379,46.75727565
12.jpg,162.5100985,163.1161819,118.4318978,111.6210812,125.6505469,169.4085748,68.28585371,64.52818898,55.41567337,172.4916795,123.2398567,123.6652271,144.2806775,158.6158552,164.9164206,55.33014237
13.jpg,155.5600343,159.7284486,136.2090595,126.2444589,137.8618922,168.6487358,47.4412047,46.36170486,38.22112373,174.3475313,150.2935724,143.9861642,153.6147025,136.8328296,155.4355754,29.73273025
14.jpg,156.6982432,159.3371813,128.3138544,118.5415715,129.3838696,167.3152116,58.52577188,55.46154459,49.70501362,172.7474766,144.089799,141.3917532,152.1307595,144.8962271,149.5623855,33.83474796
25.jpg,169.5637976,139.8452275,157.2874129,149.3419722,114.7182743,177.3723606,12.67865971,50.63921012,66.09962703,175.0027206,167.5161174,150.1746598,158.6322388,156.2179911,154.097315,32.29651216
49.jpg,174.7678549,127.2641371,134.6475099,161.7527698,163.9938217,177.7144686,41.67113062,27.67755761,27.05684438,173.9953569,159.6391941,158.0825874,160.6061082,166.4839505,163.4824509,36.04428629
7.jpg,176.8630044,153.8919757,140.2522209,128.9972745,153.3031696,171.9574112,40.30088594,46.24880175,22.67546926,173.9727134,146.3920771,133.3176278,157.4463778,141.9637444,155.6332866,31.91207049
7_2.jpg,175.5058797,164.1189262,108.3129175,106.7242335,114.1740152,175.2423773,95.01438114,83.04106255,85.92100465,176.9668567,161.0900902,158.1232631,153.7722659,142.7059605,171.4465901,41.55262653
8.jpg,178.2406577,157.3164329,143.7377104,131.3894876,148.6171211,172.3137284,36.79084746,41.14946763,26.50187817,176.1294542,154.8111554,144.3080349,157.6716845,140.3106093,146.2806156,30.3763819
