Image,THUMB_MCP_angle,INDEX_MCP_angle,MIDDLE_MCP_angle,RING_MCP_angle,PINKY_MCP_angle,INDEX_PIP_angle,MIDDLE_PIP_angle,RING_PIP_angle,PINKY_PIP_angle,INDEX_DIP_angle,MIDDLE_DIP_angle,RING_DIP_angle,PINKY_DIP_angle,THUMB_TMC_angle,THUMB_IP_angle,THUMB_INDEX_Abduction_angle
11.jpg,150.0486333,161.0410511,148.9277207,113.1216441,115.0325809,176.3079631,175.7725159,81.30619461,76.87527204,171.4870865,166.93041,148.6055451,153.3014699,134.9434803,177.5622338,26.19405812
12.jpg,147.7407119,159.1793339,149.4174248,114.0605544,121.5717635,176.6655235,175.3009268,81.73148476,70.4365311,170.5584316,166.0884113,148.2453305,154.2051032,137.7032346,178.051508,26.29459864
15.jpg,152.0293945,161.0975054,150.5742909,107.5543301,109.2636654,178.6767501,172.8972615,87.54753742,79.0084228,170.3612204,159.98573,135.0128655,142.3797281,134.9037782,170.4418816,36.47274168
16.jpg,150.7060899,157.4220798,146.3533504,104.6984895,105.7620646,176.8365771,177.9519057,86.4354927,82.72640955,169.3783901,159.4779079,135.2816623,141.2220527,132.6606995,166.8891979,38.33283848
17.jpg,157.0926634,163.0909395,150.4514944,100.4538768,94.06269057,174.4989071,175.9987754,94.73848324,97.88119746,167.0407781,150.0913802,126.0093784,134.0501253,143.4714373,162.1157867,35.73420948
26.jpg,161.5812004,158.8446733,136.2087643,94.04781075,75.67863962,173.691997,169.4149695,99.04855024,108.6931925,169.8746779,166.3596429,142.9228704,129.1531136,146.8141361,164.7016028,36.36030534
50.jpg,136.8652717,163.9875497,139.8039894,126.2513888,132.398473,171.1223083,167.3193463,72.24086284,63.77986773,173.2279096,164.2229295,149.0050864,152.0828004,144.0431006,141.8495978,19.11552271
51.jpg,134.4789599,162.311418,140.9064114,120.6209878,133.0260629,176.9355602,157.73177,75.20725023,62.81315326,170.2674044,160.0042186,150.8558528,150.0974985,132.9934471,158.8425055,18.96407047
55.jpg,136.4950721,165.573183,166.0590849,142.1157335,127.0284848,176.3100372,170.7305922,70.4100308,81.98465419,174.1783624,168.8286745,154.3018736,160.2161322,125.6077958,176.5752052,28.06314799
56.jpg,136.8619974,165.0062804,164.1826089,141.9029168,112.524144,177.9350164,172.7844504,65.38405711,95.57866939,173.6379341,167.4665319,157.2645946,157.573403,137.8301838,157.210062,30.40975565
57.jpg,143.9849517,167.2853826,163.0862354,140.9744025,91.21715927,172.3297044,172.6395238,77.09406207,117.6991945,172.6021578,166.0720228,154.3521329,153.8230243,139.2584533,158.3941291,28.09187236
b23.jpg,130.822863,165.6129705,144.1049027,111.7687096,122.9019057,176.1102923,176.0192161,78.20412173,48.6441955,173.3879067,155.7234971,140.6664258,146.872649,151.0239105,128.9056561,41.91297371
b24.jpg,134.6093607,165.3343172,149.9640701,118.5550394,126.187977,171.9647441,175.2525621,73.79021031,53.67035169,175.8122845,163.2546744,149.2325965,156.5307528,145.8665323,127.4633515,38.47124221
b26.jpg,151.2110135,152.8427438,125.811748,114.6548372,93.67591519,175.2664028,159.2333809,107.9763118,121.2844718,170.9727781,175.8764616,132.0515366,139.7399244,124.6781495,165.7345267,51.58338763
b29.jpg,157.6609001,172.9743127,146.3602835,117.2998914,121.2825881,176.4031446,173.2222135,68.19138174,62.73527317,173.6201028,167.8564254,144.5157132,150.1037681,131.8030726,169.3753227,37.26906547
