Image,THUMB_MCP_angle,INDEX_MCP_angle,MIDDLE_MCP_angle,RING_MCP_angle,PINKY_MCP_angle,INDEX_PIP_angle,MIDDLE_PIP_angle,RING_PIP_angle,PINKY_PIP_angle,INDEX_DIP_angle,MIDDLE_DIP_angle,RING_DIP_angle,PINKY_DIP_angle,THUMB_TMC_angle,THUMB_IP_angle,THUMB_INDEX_Abduction_angle
1.jpg,125.8559084,134.672636,127.1982172,122.4648015,114.7929621,143.2852744,71.50430944,58.37619128,66.51252787,128.9049639,144.832495,145.0097286,145.1739385,153.8135288,129.6543196,46.92680922
10.jpg,159.6901253,136.6121474,95.70690389,88.34249765,89.70688646,107.90625,105.5161793,84.17324486,89.56995843,154.7569939,123.3421769,131.1554651,125.5606574,155.3065289,151.4813496,51.95600853
11.jpg,160.745985,149.2738381,91.35171508,85.98825594,88.92807457,110.8051936,102.3869601,83.96595211,93.49129177,157.1280374,120.97889,133.6730512,125.0618439,148.3812869,152.5235259,53.58115476
12.jpg,156.7584392,146.1340598,88.70181964,76.0373654,73.67267219,113.0493618,106.46862,97.47436361,106.8293299,148.8982412,116.7403539,118.4577858,119.2379443,150.3769551,146.0275107,48.2220253
13.jpg,144.7305271,161.1346483,90.94351146,94.68184681,110.6834156,95.51139855,107.7792683,95.39539501,93.21435759,145.5354887,109.2546559,115.5856858,132.2010579,142.539964,155.8455135,31.99641633
2.jpg,126.8128206,136.3465597,128.4086059,121.8327422,110.8396571,148.1343336,68.0330238,56.53754642,68.74179797,123.0308737,150.9023138,149.6448461,150.2157181,154.3004032,131.8058428,45.23434279
3.jpg,125.8185539,141.5500889,131.2762535,126.9973797,122.962075,153.7211291,69.35500685,54.0006081,55.18505083,96.68394318,155.7152565,152.8786229,155.2147635,160.4352676,132.2832233,45.47528669
4.jpg,113.1968509,138.9827096,131.0281828,128.1142913,125.2459171,170.1576533,70.93126657,55.52656696,55.82947691,162.5434696,156.8776782,156.9134782,159.0160592,158.2384606,144.9881282,41.07378695
46.jpg,163.4686381,158.6046622,99.13668548,92.81838592,92.78230355,120.2474163,90.62867327,88.321238,89.89453236,155.7221068,108.8770932,107.4320664,113.6053337,147.0092795,115.2138134,61.62184613
47.jpg,123.1422029,148.2279385,137.2136715,139.2182108,154.4530755,161.7777948,52.17104223,34.89967241,26.53142178,154.6463655,155.1346835,156.7182545,163.7362161,155.7102494,150.5028647,41.5025874
5.jpg,116.1002391,141.3935446,131.4926023,126.7439838,121.4775401,163.4546236,74.81733791,60.75006094,62.43418724,156.1225598,154.7611834,153.1258944,155.7994913,161.5911566,138.525291,45.57649581
52.jpg,147.5720081,171.8664501,139.2250476,119.9566148,109.839376,109.1351202,91.09444816,72.65900163,83.87673626,150.4025666,113.7283192,137.5012396,138.6834146,133.3186777,168.1007531,44.05742325
53.jpg,155.5738913,158.9859191,150.7433815,112.3841547,111.7672301,122.5906858,110.8955968,92.03829144,87.61564888,150.9816967,114.8115762,111.0237531,120.5069753,144.3006229,168.6236702,69.69151586
6.jpg,152.1442874,171.1103817,116.4099201,106.5405169,102.3660008,101.2646681,106.6273041,109.5983901,119.0228665,152.2477532,112.8870545,117.2176662,120.5578663,113.7814742,159.169157,48.76627549
7.jpg,149.2076991,168.3212353,121.6742435,102.1287021,98.00330845,100.1656666,96.78516036,106.1589852,112.7608366,153.8381596,114.4613784,111.6843257,122.3033755,107.1452822,157.7192662,47.37696357
8.jpg,121.7485055,143.5628959,129.094393,132.5435137,149.2332486,158.4362818,69.18143361,51.69849975,32.09453399,100.9593526,155.0755533,160.6719841,167.2632531,149.2498937,149.6432146,33.77237109
9.jpg,156.9183071,134.6147728,92.12221067,90.00010971,93.9020101,124.3222692,106.1996021,89.35301543,93.33510628,154.5345153,116.5725762,122.0374468,119.4258371,150.7093178,157.0639698,52.4330209
95.jpg,156.9771093,161.4623488,99.80712183,98.71774029,91.92018206,131.3235308,89.53676904,82.10720751,97.24054482,163.7032321,93.89615932,100.2724034,100.8619072,134.5793088,116.1830384,80.89482533
96.jpg,156.5732026,170.5513623,102.0181352,99.86600073,92.68209616,111.8492206,105.3498393,100.2437201,118.6754489,150.8442641,95.00447361,95.26659221,87.48567623,135.2280675,111.3979314,79.69792408
97.jpg,155.6027207,170.6612978,101.4300245,99.08037517,89.97085279,111.579149,102.1616393,93.37934861,113.8165623,153.3355914,92.74063771,96.99360654,92.16493902,133.024747,113.0026178,78.98414796
98.jpg,159.1627961,162.1620304,97.16403428,92.81628022,88.10459429,109.7806203,99.12482343,92.18520922,106.6801369,150.065244,93.33716653,87.97165991,84.29890131,130.5142632,129.49323,79.64996592
