Image,THUMB_MCP_angle,INDEX_MCP_angle,MIDDLE_MCP_angle,RING_MCP_angle,PINKY_MCP_angle,INDEX_PIP_angle,MIDDLE_PIP_angle,RING_PIP_angle,PINKY_PIP_angle,INDEX_DIP_angle,MIDDLE_DIP_angle,RING_DIP_angle,PINKY_DIP_angle,THUMB_TMC_angle,THUMB_IP_angle,THUMB_INDEX_Abduction_angle,LABEL
12.1.jpg,151.9858373,99.09868738,95.03419955,129.4745748,145.1315736,146.9572615,146.6621155,161.5029279,168.2641672,173.0082973,168.7291122,165.9175202,170.1452529,134.7959355,167.1058011,51.72937122,label 12
12.2.jpg,137.5297189,162.8112897,115.865166,116.1615031,111.3520987,161.3354187,135.5279262,138.3804847,146.301298,175.4879985,162.6483312,172.0692863,169.610356,131.8850036,165.0154091,46.43342621,label 12
12.3.jpg,136.9482007,168.0477543,121.3951463,114.5923896,108.2483112,163.6247547,128.5427618,131.5581436,141.9349376,171.2712088,155.6582507,169.27843,167.4844336,127.8188779,168.4653623,43.59013464,label 12
12.4.jpg,136.7951575,165.0732535,125.9532902,121.8881298,126.8407517,172.3194483,135.0654864,145.9747065,147.0686764,174.2142168,162.6415798,163.823347,171.3836151,136.927553,168.5547874,44.18321723,label 12
12.5.jpg,153.1970039,161.6235674,100.1854793,94.88755907,85.43639523,162.030973,137.2441664,136.8875788,145.5701346,178.7313583,165.006819,162.2546447,158.1442576,133.1712882,164.7017735,46.28373504,label 12
12.6.jpg,132.1719591,117.0051885,129.59857,100.7471079,78.94683888,107.276889,70.35283241,82.34926058,103.7480344,170.8750257,128.2655188,103.8553769,99.50856933,142.8543547,161.1964622,42.66586764,label 12
12.7.jpg,154.5138146,162.7466264,116.7664407,113.2005789,87.71808795,167.5570572,132.5470043,128.8755055,145.3485614,176.6438965,162.6899512,167.9984969,156.8138096,121.141093,160.0604091,40.37943259,label 12
12.8.jpg,146.7625644,177.0867177,133.4655536,123.0776828,117.9569861,173.4817201,115.1598408,125.3840973,137.6743951,174.4625609,161.2370214,159.5819,155.9253873,132.6379443,174.9818589,37.15457062,label 12
12.9.jpg,149.0830929,176.3820179,130.1488748,126.2217402,118.3174979,173.0161641,118.3648279,122.3685225,137.0977214,175.7903737,165.3573673,163.3057308,151.435359,130.0283815,175.4423784,35.35498726,label 12
12.10.jpg,152.7441427,146.9435369,103.5954252,118.003959,141.9858486,163.6912179,167.6266814,171.0057242,172.1187144,177.2373356,177.5258002,177.8322346,173.4822488,138.9398372,157.4715703,29.92708721,label 12
12.11.jpg,147.1998751,156.9849762,111.293944,121.3957072,131.2461707,171.5686078,160.61789,156.1318922,159.6654743,173.4537694,168.7415171,161.5014453,169.6436374,138.6562212,169.8878057,31.40463945,label 12
